------------------------------ In iteration 0 of ranking_sel ------------------------------
gen: 6, Best Individual: Individual(size=51); Fitness: 2218.5
gen: 7, Best Individual: Individual(size=51); Fitness: 2218.5
gen: 8, Best Individual: Individual(size=51); Fitness: 2218.5
gen: 9, Best Individual: Individual(size=51); Fitness: 2109.0
gen: 10, Best Individual: Individual(size=51); Fitness: 2077.0
gen: 11, Best Individual: Individual(size=51); Fitness: 1644.5
gen: 12, Best Individual: Individual(size=51); Fitness: 1644.5
gen: 13, Best Individual: Individual(size=51); Fitness: 1418.0
gen: 14, Best Individual: Individual(size=51); Fitness: 1418.0
gen: 15, Best Individual: Individual(size=51); Fitness: 1418.0
gen: 16, Best Individual: Individual(size=51); Fitness: 1418.0
gen: 17, Best Individual: Individual(size=51); Fitness: 1342.5
gen: 18, Best Individual: Individual(size=51); Fitness: 1317.0
gen: 19, Best Individual: Individual(size=51); Fitness: 1317.0
gen: 20, Best Individual: Individual(size=51); Fitness: 1317.0
gen: 21, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 22, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 23, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 24, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 25, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 26, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 27, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 28, Best Individual: Individual(size=51); Fitness: 1258.5
gen: 29, Best Individual: Individual(size=51); Fitness: 1258.5
